url_length,num_dots,has_https,has_ip_address,num_special_chars,path_length,num_subdomains,has_suspicious_words,domain_length,num_digits_in_domain,label
71,1,1,0,2,46,5,1,20,0,1
110,4,0,0,3,46,3,0,14,4,1
92,2,0,0,3,14,3,1,14,0,1
54,2,0,0,2,14,1,0,17,1,0
40,2,1,0,2,3,2,0,14,0,0
43,3,0,0,3,23,4,1,13,2,1
37,1,1,0,1,38,0,0,18,1,0
118,4,0,0,4,40,4,1,8,2,1
107,1,1,0,6,40,2,0,33,3,1
19,2,1,0,3,20,2,0,9,1,0
77,5,0,0,4,53,4,1,22,6,1
96,7,0,0,5,34,3,1,23,1,1
59,1,1,0,1,0,1,0,12,1,0
57,2,1,0,0,14,0,0,9,1,0
20,1,0,0,4,60,4,0,14,4,1
68,1,0,0,2,10,0,0,16,0,0
62,1,1,0,0,20,1,0,7,1,0
61,1,1,0,3,59,6,1,34,4,1
78,4,1,0,3,25,2,1,23,3,1
54,2,1,0,5,40,2,1,24,2,1
91,5,1,1,8,28,4,0,26,1,1
37,3,0,0,1,16,1,0,15,0,0
55,2,1,0,3,22,0,0,3,2,0
34,2,1,0,1,20,0,0,16,1,0
29,4,0,1,2,36,2,1,22,4,1
99,6,0,0,6,15,4,0,16,5,1
55,2,1,0,2,22,1,0,16,0,0
38,2,1,0,1,13,1,0,7,0,0
46,1,1,0,4,10,1,0,12,0,0
100,7,0,0,3,40,6,1,13,1,1
56,6,1,0,4,22,4,1,25,2,1
47,1,1,0,1,9,0,1,8,0,0
43,4,0,0,3,42,3,0,19,5,1
82,5,0,0,3,36,3,1,24,7,1
44,4,0,1,5,23,4,1,21,1,1
55,5,1,0,1,21,2,0,5,1,0
35,1,1,0,0,14,0,0,10,0,0
84,3,0,0,3,14,3,0,24,4,1
40,5,0,0,3,22,3,0,19,6,1
64,3,0,0,4,15,3,1,24,1,1
38,3,1,0,0,6,0,0,9,0,0
109,3,0,1,5,29,3,1,29,3,1
36,1,1,0,0,27,1,0,7,0,0
90,5,1,0,5,21,2,1,10,3,1
114,6,0,0,5,36,4,1,12,6,1
100,4,0,0,3,42,1,0,13,4,1
74,7,1,0,7,45,3,0,21,5,1
22,4,1,0,1,14,3,0,4,1,0
36,5,0,1,13,42,2,0,18,5,1
41,1,1,0,1,0,2,1,13,0,0
54,1,1,0,0,19,0,0,14,0,0
48,1,0,0,3,28,0,0,13,0,0
38,3,1,0,0,25,2,0,7,1,0
112,8,1,0,2,41,2,0,31,3,1
26,3,0,0,0,19,2,0,9,0,0
20,3,0,0,4,53,2,0,23,1,1
47,1,1,0,0,14,2,0,11,0,0
19,3,1,0,1,36,1,0,9,2,0
54,3,1,0,1,15,0,0,11,0,0
115,5,0,0,3,46,4,1,14,4,1
45,4,0,0,2,14,0,0,10,1,0
48,1,1,0,0,30,1,0,11,0,0
55,5,0,1,2,23,2,1,11,5,1
45,1,1,0,2,29,1,0,12,1,0
55,3,1,0,1,5,1,0,11,0,0
92,3,0,0,2,26,2,1,19,3,1
84,7,1,1,2,46,3,1,6,2,1
44,7,1,0,7,43,3,1,12,2,1
32,4,1,0,2,30,0,0,10,0,0
100,8,1,0,1,58,1,1,18,4,1
29,2,0,0,1,10,0,0,9,0,0
66,2,1,0,0,15,0,0,11,0,0
92,4,0,1,4,44,0,0,19,1,1
49,5,1,0,0,18,0,0,7,1,0
80,3,0,0,4,35,0,0,9,2,1
48,7,1,0,5,17,1,0,6,1,1
21,3,1,0,1,0,1,1,6,0,0
57,2,1,0,1,6,1,0,12,1,0
20,1,1,0,2,20,0,0,16,0,0
74,8,0,1,3,29,4,1,5,6,1
105,1,0,0,6,30,3,0,18,4,1
23,3,1,0,0,9,2,0,12,0,0
50,2,1,0,1,20,0,0,18,1,0
93,5,1,0,5,44,1,0,33,2,1
98,7,1,0,5,15,2,1,17,2,1
60,3,0,0,4,33,4,0,25,7,1
101,6,0,1,3,46,4,0,24,2,1
23,1,1,0,0,21,1,0,13,0,0
31,3,1,0,1,8,1,1,15,0,0
43,2,1,0,0,6,3,0,9,0,0
47,2,1,0,2,0,1,0,9,1,0
46,1,1,0,0,8,1,0,4,4,0
10,1,1,0,0,22,1,1,12,0,0
45,7,0,1,2,31,6,1,18,0,1
32,1,0,0,1,29,0,0,8,0,0
42,3,1,1,7,10,1,1,34,4,1
69,5,1,0,1,22,2,0,13,2,0
121,7,1,0,3,64,1,1,14,5,1
82,9,1,0,3,29,3,0,11,3,1
60,1,1,0,0,12,0,0,6,1,0
36,1,0,0,1,51,6,0,22,4,1
69,4,1,0,3,38,3,1,24,3,1
77,2,0,0,4,36,5,1,11,1,1
43,3,1,0,0,21,0,0,10,0,0
66,3,0,0,6,17,1,1,23,3,1
47,6,1,1,6,33,4,0,33,2,1
41,3,0,1,4,40,1,0,20,3,1
98,1,1,0,5,18,3,1,20,2,1
39,2,1,0,1,20,0,0,4,1,0
41,1,1,0,1,25,1,0,16,2,0
109,2,1,0,5,24,0,1,10,2,1
132,5,1,1,5,34,3,1,12,3,1
62,1,1,0,1,24,1,0,3,0,0
56,4,1,0,0,8,0,0,10,3,0
51,4,0,0,5,53,6,0,37,1,1
28,1,1,0,0,15,0,0,3,0,0
99,5,0,0,4,40,6,0,38,5,1
109,7,0,0,7,61,0,1,23,1,1
100,6,1,0,6,8,6,0,7,3,1
52,2,0,0,1,24,1,1,13,0,0
47,1,1,0,2,17,0,0,4,0,0
35,2,1,0,1,16,2,1,13,1,0
66,1,0,0,0,9,0,0,9,1,0
20,11,1,0,3,42,3,1,25,1,1
71,6,0,0,3,63,2,0,13,3,1
44,4,1,0,0,15,4,0,5,0,0
45,2,1,0,1,1,1,0,11,0,0
44,1,1,0,1,17,0,1,11,1,0
33,1,0,0,1,21,0,0,12,0,0
60,1,1,0,3,24,0,0,14,1,0
28,1,1,0,2,4,0,1,7,1,0
75,1,0,0,1,11,1,0,9,1,0
51,4,0,0,4,28,2,1,25,4,1
139,2,1,0,5,27,3,0,49,6,1
38,1,1,0,2,8,2,0,10,0,0
94,4,0,0,3,33,4,0,12,4,1
93,4,1,0,5,29,4,0,20,0,1
57,2,1,0,0,0,1,1,10,0,0
48,1,1,0,0,14,1,0,11,1,0
52,5,0,0,5,51,7,1,33,3,1
58,3,0,0,2,14,0,0,13,0,0
68,1,0,0,0,5,2,0,13,1,0
114,1,1,0,4,43,2,0,15,7,1
56,1,1,0,1,13,3,0,19,0,0
39,2,1,0,1,4,1,0,11,0,0
45,2,1,0,3,28,1,0,5,1,0
97,6,1,0,2,56,4,0,25,2,1
72,1,1,0,1,11,2,0,11,1,0
46,2,1,0,1,15,1,0,10,0,0
82,3,1,0,4,40,2,0,20,3,1
50,1,0,0,2,7,1,0,6,0,0
78,4,0,0,6,4,3,0,26,3,1
92,4,0,1,3,6,4,0,12,2,1
62,2,0,0,6,66,4,0,10,5,1
89,2,0,0,6,27,4,1,32,3,1
53,6,0,0,4,15,4,1,21,8,1
62,2,1,0,1,23,1,1,6,2,1
30,4,1,0,0,0,5,0,6,0,0
76,2,0,1,4,45,4,0,14,5,1
104,4,0,0,2,26,6,0,25,5,1
46,2,1,0,0,7,1,0,6,0,0
106,7,0,0,2,43,1,0,5,3,1
46,4,1,0,3,14,1,0,25,2,1
88,4,0,0,5,46,4,0,5,4,1
27,3,1,0,1,0,0,0,13,1,0
43,6,1,0,0,29,1,0,18,0,0
51,3,0,0,4,35,4,1,17,4,1
69,1,1,0,1,15,0,0,9,1,0
48,2,1,0,2,26,1,0,18,0,0
55,6,0,1,0,49,2,1,15,1,1
81,2,1,0,0,11,1,0,17,0,0
74,2,0,0,4,24,3,1,13,3,1
48,2,1,0,0,36,0,0,7,1,0
67,2,1,0,1,16,0,0,12,1,0
92,2,0,0,3,67,1,0,22,0,1
25,2,0,0,1,14,0,0,11,1,0
50,6,0,0,7,31,6,0,29,1,1
64,1,0,0,2,9,1,0,10,0,0
64,1,0,0,2,21,5,0,9,2,1
54,1,1,0,3,12,2,0,7,0,0
64,4,0,0,3,37,0,0,16,2,1
98,5,1,1,3,47,2,0,14,2,1
69,6,1,0,4,53,3,0,22,2,1
36,4,1,0,0,22,2,0,6,0,0
65,5,0,0,3,38,5,0,20,4,1
101,7,0,0,1,21,3,0,30,3,1
48,2,1,0,0,13,2,0,13,0,0
26,1,0,0,0,11,0,1,10,0,0
58,1,0,0,4,9,1,1,8,0,0
25,2,1,0,2,15,3,0,10,0,0
82,6,0,0,3,55,2,0,26,5,1
44,2,1,0,2,15,0,0,4,0,0
23,2,1,0,0,11,1,1,7,0,0
41,2,1,0,1,13,1,0,8,0,0
36,1,1,0,1,4,1,0,9,0,0
26,1,1,0,0,0,1,0,9,0,0
73,3,1,0,2,18,0,0,6,0,0
55,3,1,0,0,19,0,0,8,0,0
40,2,1,0,2,29,0,0,11,0,0
58,2,1,0,0,1,1,0,17,0,0
70,2,0,1,6,7,3,1,31,3,1
87,3,0,0,3,15,3,0,29,1,1
35,2,1,0,0,27,2,0,5,0,0
55,1,1,0,1,16,1,0,15,0,0
33,3,1,0,0,18,1,0,12,0,0
45,1,1,0,2,10,0,0,19,0,0
61,1,1,1,3,28,4,0,18,2,1
75,7,0,0,3,42,3,0,36,1,1
56,3,1,1,7,55,2,0,30,1,1
26,2,1,0,1,14,1,0,3,0,0
64,2,0,0,1,14,1,0,10,1,0
66,6,0,0,2,2,1,0,18,3,1
81,3,0,0,5,53,1,1,7,3,1
61,1,1,0,1,25,0,0,7,1,0
41,1,1,0,1,18,3,1,15,0,0
36,2,1,0,2,21,1,0,11,0,0
36,4,1,0,0,15,0,0,13,2,0
55,3,1,0,4,49,2,1,7,4,1
65,2,1,0,2,23,0,0,10,0,0
58,5,0,0,6,49,3,0,23,2,1
44,1,1,0,0,23,4,0,3,1,0
30,3,1,0,1,22,1,0,9,0,0
34,3,1,0,2,6,1,0,19,2,0
71,3,1,0,0,26,5,0,15,3,1
46,3,1,0,0,14,0,0,11,0,0
97,3,1,0,6,12,2,0,34,2,1
53,5,1,0,1,15,1,0,7,0,0
74,2,0,1,7,34,0,0,22,1,1
50,6,1,0,0,27,0,0,5,0,0
29,2,1,0,1,7,2,0,7,1,0
72,3,0,0,5,24,4,0,19,5,1
88,6,1,0,2,26,1,0,27,1,1
71,7,1,0,5,60,6,0,9,6,1
108,3,0,0,1,19,3,0,18,4,1
28,4,1,0,1,0,1,0,8,0,0
96,2,0,1,5,30,2,1,13,5,1
104,6,1,0,5,41,2,0,8,2,1
31,1,1,0,0,18,0,0,8,1,0
36,2,0,0,0,8,2,0,12,1,0
76,4,1,0,0,24,2,0,9,0,0
60,4,0,1,6,28,1,0,9,5,1
50,2,0,0,4,66,6,0,5,4,1
56,4,0,0,3,11,1,0,35,4,1
37,1,1,0,3,10,1,1,5,1,0
62,2,0,0,1,22,2,0,7,0,0
94,2,1,1,5,34,8,1,18,1,1
76,4,1,0,6,5,1,0,21,1,1
72,2,1,0,6,46,1,0,9,2,1
52,3,1,0,0,43,1,0,10,0,0
64,1,1,1,7,21,3,1,27,4,1
19,1,1,0,0,11,1,1,5,0,0
19,4,1,0,1,22,2,0,3,0,0
41,1,1,0,0,6,0,0,3,0,0
46,2,1,0,1,0,1,0,3,0,0
59,1,1,0,2,15,0,0,14,1,0
52,1,1,0,0,21,2,0,3,0,0
73,6,0,1,4,19,1,0,7,3,1
103,5,0,1,4,57,3,0,15,6,1
65,2,0,0,5,0,1,1,20,5,1
36,1,1,0,1,21,2,0,11,0,0
71,3,1,0,1,14,1,0,10,0,0
50,1,1,0,0,11,1,0,11,0,0
90,5,0,1,5,20,2,1,24,4,1
43,5,1,0,5,53,5,1,22,0,1
64,1,1,0,1,23,1,0,10,0,0
41,4,1,0,1,10,0,0,10,0,0
118,2,1,1,3,25,3,0,18,5,1
27,3,1,0,0,21,1,0,11,0,0
84,4,0,0,3,39,6,0,9,6,1
72,4,0,0,4,31,1,0,26,1,1
80,4,0,1,5,37,1,0,18,0,1
50,6,0,1,4,34,2,0,19,0,1
36,4,1,0,1,0,1,0,10,1,0
50,4,1,0,2,15,1,0,12,0,0
88,3,0,0,5,18,3,0,20,2,1
51,2,1,1,4,46,1,0,10,1,1
64,4,1,0,1,34,4,1,19,2,1
29,2,1,0,0,0,1,0,16,0,0
40,3,1,0,1,26,0,0,11,1,0
30,1,1,0,2,13,0,0,7,0,0
118,8,1,1,6,14,5,1,14,5,1
38,1,1,0,1,16,0,1,14,0,0
96,2,0,0,6,20,2,1,30,5,1
104,2,0,0,2,51,8,1,35,4,1
63,1,1,0,3,40,1,1,12,3,1
47,3,1,0,0,26,2,0,14,2,0
119,8,0,0,5,16,2,1,19,1,1
42,2,1,0,1,8,1,0,4,0,0
78,11,0,0,3,40,4,0,25,3,1
37,1,1,0,0,19,2,1,15,0,0
52,3,1,0,0,6,1,0,6,0,0
48,1,0,0,1,25,1,0,5,0,0
31,5,0,0,3,25,5,0,16,2,1
57,1,0,0,4,29,2,1,21,5,1
31,3,1,0,2,11,5,0,14,1,0
50,4,1,0,4,33,5,1,22,2,1
44,3,1,0,0,26,0,0,9,2,0
71,2,0,0,1,50,3,1,5,5,1
91,4,1,0,2,23,0,0,16,4,1
74,3,1,0,8,21,3,1,23,2,1
53,6,1,0,6,16,1,0,18,6,1
30,3,1,0,2,0,1,0,10,0,0
78,3,0,1,1,26,2,0,17,2,1
36,1,1,0,1,17,1,0,3,0,0
62,4,1,0,6,38,1,0,23,4,1
24,7,1,0,4,45,3,0,32,2,1
52,5,0,0,2,34,1,0,20,2,1
63,1,0,1,8,50,4,1,31,3,1
108,2,1,1,7,27,2,1,20,5,1
66,3,0,0,3,38,3,0,34,3,1
61,2,0,0,2,8,1,0,17,1,0
47,1,1,0,1,10,0,0,7,0,0
54,2,1,0,0,4,1,0,14,1,0
46,5,0,0,3,21,3,0,26,1,1
43,1,1,1,5,38,3,1,6,4,1
41,5,1,0,0,11,2,0,6,0,0
45,3,1,0,0,7,1,0,9,0,0
79,3,0,0,4,38,2,0,39,5,1
48,2,1,0,2,6,0,1,8,1,0
55,4,0,0,5,59,4,0,19,1,1
115,4,0,0,8,19,4,0,20,7,1
68,4,0,1,1,46,2,0,25,0,1
52,2,1,0,0,18,3,0,5,2,0
62,5,1,1,6,33,3,1,24,4,1
83,5,0,1,4,41,1,0,22,3,1
22,2,1,0,0,27,0,0,9,0,0
54,1,1,0,0,5,1,0,8,0,0
68,2,1,0,1,17,4,0,9,1,0
11,3,1,0,1,1,0,1,3,2,0
38,3,1,0,1,31,1,0,7,3,0
90,1,0,0,3,22,2,0,33,1,1
74,11,0,0,3,26,3,0,16,4,1
76,5,0,0,4,52,2,0,20,3,1
61,3,1,1,4,12,3,0,33,2,1
60,4,0,0,3,33,4,1,10,1,1
42,2,1,0,0,7,2,0,8,0,0
72,5,0,0,2,43,2,1,29,5,1
64,3,0,1,3,24,3,0,25,5,1
38,1,1,0,1,8,0,0,12,0,0
23,4,1,0,2,6,2,0,6,0,0
80,5,0,1,3,36,4,1,29,1,1
103,1,0,0,5,23,3,1,15,4,1
120,5,0,0,3,17,1,1,21,4,1
82,2,0,0,6,23,2,1,19,5,1
60,4,1,0,4,44,2,0,27,1,1
48,2,1,0,1,24,0,0,14,1,0
47,1,1,0,0,0,0,0,15,0,0
60,6,1,0,7,30,2,0,10,3,1
75,4,0,0,5,43,4,1,23,1,1
71,2,1,0,0,23,0,0,10,1,0
67,4,1,0,1,25,0,0,9,2,0
93,3,0,0,5,15,6,0,10,4,1
76,1,0,0,7,5,3,1,26,0,1
97,2,1,0,5,41,6,1,27,4,1
121,6,1,1,7,36,5,0,5,4,1
32,5,1,0,1,20,0,0,7,0,0
66,3,0,0,5,17,3,0,6,4,1
